dyu,fr,dyu_len,fr_len
muso kuma le kada ye,la femme est son sujet favori,20,29
ni tununa,celleci a disparu,9,17
ta ka bɔ yɔrɔ ni nan n bi nana fani don,vaten je vais mhabiller,39,23
i laanibala ko a bi na diya n ye wa,tu es sûr quon aimerait,35,23
o ba kunko ye,à ses risques et périls,13,23
ni kado ni ye ele ni nne ta ye,ce cadeau est à toi et à moi,30,28
ɲiningali te nin ye,ce n’est pas la question,19,24
nin bi se ka min kɛ,ce que cela peut faire …,19,24
anw be ɲɔgɔnw kalan,nous nous lisons,19,16
i bi na subagaya ko juma le kɛ,quel charlatan tu ferais …,30,26
awɔ kuma ɲanama lo wɛ,belle proposition en effet,21,26
o ka bugɔ fo ka tɛmɛ,il a été très frappé,20,20
i be se ka n ka dudu minɛ wa,tu peux tenir mon doudou,28,24
dɔgɔcɛ be deliponti bolo,delliponti a un petit frère,24,27
biwɔrɔ ni tan ni kelen,soixante et onze,22,16
n bi na sira kɛ seen na,je ferai la route à pied,23,24
a bi na kan labɔ tumawɛrɛ,bientôt il éleva le ton,25,23
an bina italiyen dumuni dumu,on se fait un italien,28,21
a ko a ba yɛrɛ bila ka timi dɛ,quelle négligence se ditil,30,26
a ma sɔn o ma,ça ne compte pas,13,16
n ta famu na,je ne comprends pas …,12,21
a ka sigilan ye brukig ye,son siège est brookings,25,23
miselin ka bɛ ɲafɔ nn ɲana,micheline m’a tout dit,26,22
i le lo ka fɔ ko i bi na n kɔnɔ,tu avais promis de m’attendre,31,29
n bi taga salɛm sini wulafɛ,je pars à salem demain soir,27,27
saraya bi a la,elle est admirable,14,18
a suma ni bɛ dɛ,que c’est froid ,15,16
a tun be tulo kɛ no ye,il jouait avec eux,22,18
a ka laban bila a la samiɲatuman na,il met fin à sa saison,35,22
a be mɔgɔ fɛ ɲanaman,vous êtes très aimable,20,22
so ni be panna,la jument bondit,14,16
muso juman le ye nin ye,quelle est cette femme,23,22
an ka dasi fila filɛ nin ye,voilà vos deux francs …,27,23
a ma foyi lɔn,elle ne sait jamais rien ,13,25
vɔyaji kun be di le ,comment était le voyage ,20,24
duniya ka jan tuma dɔ la,la vie est parfois si longue,24,28
bon nunu kɔnɔ,dans les maisons,13,16
puɛn fila fɔlɔ,deux points d’avance,14,20
sɛnkɛri lo be yi,il est cinq heures,16,18
i kɔrɔmuso tɔgɔ be di,comment sappelle votre sœur ,21,28
miniti kelen biloru,une minute cinquante,19,20
a cɛ ma ɲi,il ne fait pas beau,10,19
n dusukun tun degun na,javais le cœur serré,22,20
nn darala ko a tun bi na diya i ye,je suis sûr qu’il aurait aimé,34,29
somuso panna,la jument bondit,12,16
taaga nn bi gwɛna,vat’en je te chasse,17,19
a bi se ka boyi,il peut donc être retiré,15,24
ɛsk ele yi ka kalandenw sɔrɔ wa,tas eu des étudiants toi,31,24
a ka gwɛlɛ,c’est difficile,10,15
a be kumana telefoni na,il parle dans le téléphone,23,26
cɛ toyi yɛrɛ don bali lo,audace nest pas déraison,24,24
a fɔ mɔgɔ duuru nun nu ɲana,disleur à tous les cinq,27,23
aa kungolo saaba,vos trois têtes,16,15
fo n be se a yɔrɔla,il faut que jy arrive,19,21
a lajabi ni yɛrɛ faga ye,il répond malaisément,24,21
kongo sogo nɛrɛmuguma dɔ filɛ,un autre animal jaune,29,21
zipu suguya bɛ,une jupe quelconque,14,19
nne ye parantɛsu datugu,je clos la parenthèse,23,21
ɛsk n ka sumanikɛfɛn di ma wa,je vous ai donné la balance ,29,28
boon tan ni wolofila,dixsept maisons,20,15
londres be n ka sii yɔrɔ ye,jhabite à londres,27,17
a sigila layɔrɔ da kuna,il s’assit près du lit,23,23
n be boli ka n teriw hakili sigi,je cours rassurer nos amis,32,26
a bi nana wa,estce qu’il viendra ,12,20
a sara milana,il est mort à milan,13,19
a be famu,c’est compréhensible,9,20
aw ka kan ka jati minɛ,il faut en tenir compte,22,23
a be tan le lonbɛ yan,c’est toujours comme ça ici ,21,28
aw ka lɔn joli le be nin ye wa,vous savez combien il coûte ,30,28
n ti mɔgɔ si kɔnɔ na,je n’attends personne,20,21
nin te tulonkɛ fen ye,ce n’est pas d’un jeu,21,21
ka na bugɔ,ne le frappez pas,10,17
n bi na aw ye kɔfɛ,je vous verrai plus tard,18,24
n ma la a la,je n’en suis pas sûre,12,21
sigilan karila,la chaise est cassée,14,20
ni an tun ye pidiza kɔmande do,et si on commandait une pizza,30,29
i ka lon cogo mina o bi gwakɛ,vous savez comment cuisiner ,29,28
i baleman muso fɛ,j’aimerais ta sœur,17,18
saan tun finna,le ciel était sombre,14,20
aw be baara juman le la,quel métier faitesvous ,23,23
i be na sogo dɔ ta tuguni wa,tu reprendras de la viande ,28,27
a bi sufri kalivisi la,il souffre de calvitie,22,22
i ba famuna sisan wa,tu comprends maintenant,20,23
papiliɔn deni,un tout petit petit papillon,13,28
marcof tun ye a lamagalamagali la lɔ,marcof les calma du geste,36,25
kitabuw do,où sont les livres ,10,19
n bo le natala,en tout cas je le souhaite,14,26
n be na feen fila jatiminɛ,je ferai deux remarques,26,23
u lɔn ka tɛmɛ,ils sont extrèmement connus,13,27
kititigɛbagaw tɔw tun kɛrɛnkɛrɛnla mɔgɔw bolo,les autres juges étaient élus,45,29
a daminnɛ ma ɲɛ,cela commence mal,15,17
aa ni teri ni ye teri ɲuman le ye dɛ,mais cet ami est sacré,36,22
a ka ko dɔ fɔ,il a dit quelque chose ,13,23
sizo be n boro,j’ai une paire de ciseaux,14,25
an ga mɔgɔw bila makɔnɔlila,on fait attendre les gens,27,25
nɔnɔ litri demi,un demi litre de lait,15,21
a ɲana kɔsɔbɛ,c’est assez bon,13,15
a be donna pari djamanana foyi ta bolo,ruiné il rentre à paris,38,23
den joli le ,combien denfants ,12,17
n yala a be angilɛ kan fɔ wa,vous parlez anglais ,28,20
koo ɲafu ɲafu,n’importe quoi ,13,15
musuw ko ma dan ye le tuguni wa,il n’aime donc pas sa femme ,31,28
an tun bi tagala,nous étions en train daller,16,27
fugulan bo kelen kelen bɛ kun na,ils ont chacun un chapeau,32,25
a cɛjuguni filɛ,qu’estce que c’est mauvais ,15,27
kulɛri juman le,de quelle couleur il est ,15,25
mariamou musu mi na ma cɛ don,la vierge marie,29,15
bonni bi na diya i ye dɛ,cette maison te plaira,24,22
o lugu o ka kanu,elles elles ont aimé,16,20
i lanibala ko i bi na kanou wa ,tu es sûr que tu aimeras,31,24
anw be bara kɛ min,où travaillezvous ,18,18
n te fɛ ka taga,je ne veux pas partir,15,21
a tagara,elle est partie,8,15
yala ka dumini kɛ ɲɔgɔn fɛ wa,vous avez mangé ensemble ,29,25
aw ka lɔn cogo juman,comment le savezvous ,20,21
jɔn ka tur lo ka tulon kɛ,cest à qui de jouer ,25,20
a sigila tuguni o kɔfɛ a ye a bolo filaw minɛ ɲongonma,il se rassit croisa les bras,54,28
i lanibala ka tun diara i ye wa,tu es sûr que tu aimas,31,22
an bi se ka an hakili sigi,nous y serons attentifs,26,23
barakɛyɔrɔ le,cest un centre industriel,13,25
denmisɛnw aw ye na dumuni kɛ,les enfants venez manger,28,24
o ba tanuna,ils la complimentaient,11,22
a be bɔ kini fɛ,il sort par la droite,15,21
a be sɔgɔsɔgɔla tuguni,il toussa encore,22,16
kungolola ani dusukunna,dans la tête et le cœur,23,23
aw ye ɲamɔgɔ boɲɛ,respectez le ministre,17,21
nin bɛgɛnkolon lo ye,quel stupide animal ,20,20
an ti na kuma foyi fɔ ni koni na tugun,pas un mo sur ça,38,16
sama den naani,quatre éléphants,14,16
n ko ka ciikan sɔrɔ sɔgɔma,jai reçu leur offre ce matin,26,28
i ba laban la tile biduuru,tu le traites quinze jours…,26,27
ole cɔ n baw barikadala,c’est exact je vous remercie,23,28
a ye don a ye sigi,entrez asseyezvous,18,18
ni bɛ ye sigɛni ko le ye o,tout cela est aléatoire,26,23
o ma sɔn a la,il a été refusé,13,15
an be jigɛw minɛ ni jɔrɔkɔw ye,nous pêchions avec des filets,30,29
a min tiena fo ka tɛmɛ,le plus rouillé,22,15
sama binaani ni naani,quarantequatre éléphants,21,24
n tɔgɔ ye john smith,je m’appelle john smith,20,23
nin ma deri ka kɛ,cela n’a jamais vu le jour,17,26
baba grelys denmuso,la fille au père greluche ,19,26
ka na to ki kun kɛ ni togoya ni na,cesse de faire la tête ,34,23
n dalebala ka ba kanu,je suis sûr quon aime,21,21
mu le kɛra,qu’estce qui s’est passé ,10,25
o ya,leur,4,4
wagati kunkuruni di n man,accordezmoi un petit moment,25,27
a ma ben a ye a kan kɔrɔta na ye,pas possible sécriatelle,32,24
a keleen tɛ,ce n’est pas la seule,11,21
a ye jigini sɔrɔ wagati la,il a obtenu une prolongation,26,28
i muso teyi tuguni le wa,votre femme n’est plus là ,24,26
ne bi aw kɔnɔna,moi je vous attends,15,19
badenmuso fila le bi n bolo,jai deux sœurs,27,14
a n kɛra sɔrɔbagaw cɛ ,eh bien j’ai gagné …,22,20
a ɲadenw fanin be kasi la,elle fondit en pleurs,25,21
isa ma sɔn ko mɔgɔ wɛrɛ ye jalaki,jésus défend daccuser autrui,33,28
i lanibala ka diara anw ye wa ,tu es sûr que nous aimions,30,26
a ye finɛtri kari,il a brisé la fenêtre,17,21
gari bi yɔrɔ juman le,où est la gare routière ,21,24
ji te anw fɛ,on manque d’eau,12,15
wa i ko nɛni,et tu les as insultés,12,21
a be sɛbɛnan ɛl la,mais dans l’article l,18,21
a cɛɲani no kosɔbɛ,elle est richement dotée,18,24
i lanibala ko a diala i ye wa,tu es sûr quils aimaient,29,24
ji kaɲi ka bɔn fɛrɛla feenw la,il faut arroser ces plantes,30,27
a ye nin kitabu ni faa sɛbɛra,remplissez ce formulaire,29,24
a ba yɛrɛ sɔrɔla kɔsɔbɛ,il sen tire bien,23,16
na tun ka jigɛ ɲini jira,si elle pêchait,24,15
a bi na da ɲɛlɛ wagati juma,quand ouvrezvous la porte ,27,26
ni o lo n bi na n lafiɛn bi,annule je prends ma journée,27,27
a bi lamɛnikɛ o kɔ fɛ a bi la batoni kɛ,il écoute et il obéit,39,21
a ko dira n ye kosɔbɛ,elle me plaît bien à moi,21,24
i lanibala ko a bi na kanu wa,tu es sûr qu’elle aimera,29,24
a ka a yɛrɛ bɔ a ra,il s’est retiré,19,15
a bi na bɛɛn wa,cest possible ,15,14
i ka lynɛti,ta paire de lunettes,11,20
sisan n ga tanti do,alors où est ma tante ,19,22
yala aw bi ka angilɛ kan fɔ wa,vous apprenez l’anglais ,30,24
tlera bi tagara wagati juma ,à quelle heure le déjeuner ,28,27
kilomɛtri kelen sira la,un kilomètre de route,23,21
kunu n tun be jigɛ ɲinina,hier je pêchais,25,15
i ko di ni n ye gilasi dɔ san,et si on s’achetait une glace,29,29
mu le ba kɔnɔ,questce quil y a dedans ,13,24
yala aw ka mɛ wa,vous avez entendu ,16,18
a tun ma lamɛnikɛ,ils ne lavaient pas écouté,17,26
wagati joli tuguni ,combien de temps encore ,19,24
n tun bo filɛla ni filɛli ye,je jetai un regard sur eux,28,26
a ye taga ka bɔ yan,allezvous en dici,19,17
a tun ti na furu kɛ abada,il ne se serait jamais marié,25,28
a bi na yɛrɛ yila cogo juma,comment se présenter ,27,21
nafolo ti n bolo,je nai pas dargent sur moi,16,26
boon fenɛtri,la fenêtre de la maison,12,23
i lanibara ka fɔ ko an kadi ɲɔngɔn ye,tu es sûr que nous aimions,37,26
a ba tɔ kunu na,il avale le reste de la tasse,15,29
nɔnɔ mi kaɲi,cest bon de manger du lait,12,26
a tun be mi,où avezvous été ,11,16
a tɛmɛna yan le fɛ,elles est passée par là,18,23
i ni ce adama deen ya la,merci en toute humilité,24,23
n ti na se ka n yɛrɛ sɔrɔ tuguni,je ne men relèverais pas,32,24
an bi angilɛ kan fɔ,parlons anglais,19,15
ji be yi,il y a de l’eau ,8,16
markof bi a lakɔrɔsila,marcof remarqua le mouvement,22,28
an ye a filɛ ka na dimi,voyons ne te fâche pas…,23,23
an be a degila a ni ka falen,échange et formation,28,20
lɛtri mugan ni kelen,vingt et une lettres,20,20
sama mugan ni kelen,quarante et un éléphants,19,24
n tinana foyi fɔ,je ne dirai rien,16,16
n ka sumani kɛlan di a ma,je vous ai donné la balance ,25,28
ni wagati tun bi n bolo,si j’avais le temps,23,19
ni le bina a boli,c’est lui qui conduira,17,22
i bi ni a ka ladialali fɛn di mɔgɔ juma le ma,a qui donnerastu ton cadeau ,45,28
cogo di e ka cɛ ni don,comment tu connais monsieur ,22,28
a be na to nan ye,il demeurera parmi nous,17,23
sama saba,trois éléphants,9,15
nɔnɔ litri demi,vous vous êtes aimé,15,19
i ma denmuso diana ye,il aime ta sœur,21,15
i tɔgɔ be mu le ye,comment t’appellestu ,18,21
n be sira kaliforni,j’habite en californie,19,22
i lanibala ko i bi na kanou wa ,tu es sûr que tu aimes,31,22
a be na se wagati juma,à quelle heure arrivetil ,22,25
i ni ce jatigiɲumaya la,merci de me recevoir,23,20
nin ti anw ka sii da bara ye,ce n’est plus de mon âge,28,25
a be na mɔgɔw wele,il va inviter les gens,18,22
furucɛ nata ka jamu ani a tɔgɔ,prénoms et nom du futur époux,30,29
a bɔra ɛndu jamana na,elle est originaire de linde,21,28
ji te yi,il ny a pas deau ,8,17
aw yi dɛrɛmɛ misɛniw ta,gardez la monnaie,23,17
i ko di sinema ko ra,ça te dirait un cinéma,20,22
faligan bi n na n ta tansiɔn yɛlɛla fo binani,jai quarante de fièvre,45,22
sɛbɛ fɛn kelen be n bolo ni kitabu fila,jai un crayon et deux livres,39,28
bigɛn kolɔn juma le yi ni ye,quel stupide animal ,28,20
an ma lara tumabɛ,on peut toujours douter,17,23
onhon an sɔn na bagɛ marala le,oui répondit le fermier,30,23
a ka da yɛlɛ,vous avez ouvert la porte ,12,26
kumakan fɔlɔ a ni kumakan laban,du premier au dernier mot,31,25
n nisɔndiyara kɔsɔbɛ,je suis très satisfait,20,22
a tɛmɛna nin yɔrɔ ni na,elle est passée par là,23,22
tabali finman fila,deux tables noires,18,18
a be kulela hali a ma wili,criatelle sans se lever,26,23
a be tlon kɛ la,elle est en train de jouer,15,26
nne mako ,moi … je m’en fiche …,9,21
n miriya la a kaɲi kɔsɔbɛ,c’est très bien je pense,25,24
wulu den bisaba ni kelen,trente et un chiens,24,19
n ka n bolo ko,je me suis lavé les mains,14,25
ɲinigali fɔlɔ,la question principale,13,22
a ka mɔgɔ caman wele,il a invité beaucoup de monde,20,29
hakilila ɲanaman ti ye,sourires avis défavorable,22,25
kangalida ma labɔli kɛ,la prévention n’a pas suffi,22,27
aa i bé ka jati minɛ juma le kɛ,ah et dans quel but ,31,20
na ni fila ye walima saaba,apporte en deux ou trois,26,24
mɔgɔ si tun ti se ka ɲafɔ,personne ne pouvait le dire,25,27
nn ta don ɲanaman,je ne sais pas bien,17,19
sisan n be ka ye,maintenant je le vois,16,21
cɛ simit ye amɛrikɛn de ye,monsieur smith est américain ,26,29
ne delila ka kanu,moi jai été aimé,17,16
ayiwa a bi kan ka mɛ lon kɔnɔtɔn la,alors ça dure neuf jours ,35,25
nɛgɛguru tan le be yi,il est dix heures,21,17
a ka juma le jabi,qu’atil répondu ,17,16
i da le do a la ka bi na diya o ye wa ,tu es sûr quelles aimeront,38,26
kɔni sanji te ka na,estce quil ne pleut pas ,19,24
a be ka kuma ni kan misɛn ni ye,elle parle dune voix aigüe,31,26
jurumu kɛla fariman dɔ,un redoutable pêcheur,22,21
n ye bolo ɲuman tigi de ye,je suis droitière,26,17
malo caman be n bolo,jai beaucoup de riz,20,19
a a kungolo dimi wilila n na,ah j’en ai mal à la tête ,28,25
saan fɔlɔ,le premier de lan,9,17
a tɔrɔla sifi la,il a souffert de la syphilis,16,28
an ni ce a ka jabilila,merci de votre réponse,22,22
nin tulon kɛ fɛn ɲɔgɔn dɔ be n bolo du kɔnɔ,jai le même jeu à la maison,43,27
denmisɛnuw mara yɔrɔ,une garderie d’enfants,20,22
i ni ce cɛ dolɛz,merci monsieur dolez,16,20
a man kɛnɛ dɛ,il ne va pas très bien,13,22
kɔni n ka lɔn nne,estce que je sais moi ,17,22
n balima ka kan ka lon wa,mon frère doit le savoir,25,24
fla walma saaba,deux ou trois fois,15,18
a dun ka mara,elle avait cotisé,13,17
tiɲɛ fo si tala,ce n’est pas vrai,15,17
nn tericɛ amɛrikɛn le be,mon ami est américain,24,21
a be borila,il est en train de courir ,11,26
wɔru ni tun be yi a ka marayɔrɔla,le chien était dans sa niche,33,28
bon mugan ni duuru,vingtcinq maisons,18,17
a tun ba fɔla ɔn ɔn wagati bɛ la ɔn ɔn,elle disait non toujours non,38,28
a tagatɔ bɛ filɛ sisan sisan,il vient juste de partir,28,24
a filɛ nin ye n ka fɔ wo,voilà je l’ai dit,24,17
tulo fitini fila,deux petites oreilles,16,21
bii walama sini,aujourd’hui ou demain,15,21
a be angilɛ kan degila wa,vous apprenez langlais ,25,23
karlɔsi tun be dɔnkili lara ka ɲɛn,carlos chantait bien,34,20
a te foyi kɛ,ca ne fait rien…,12,16
konimuw kaɲi,des choses très importantes,12,27
a bi tabali bugɔ la,il frappe sur la table,19,22
kana dumuni kɛ caman,ne mangez pas trop,20,18
ti ka vɛɛsi fitini nin dó,va mettre ta petite veste,26,25
nne nana misi kanma,tu viens pour la vache ,19,23
jon ne bo ye,qui sontelles ,12,14
sisan an be jurumukɛra,maintenant nous pêchons,22,23
n taa le bɛ,c’est la sienne,11,15
i bi na mu ne kɛ,qu’estce que vous ferez ,16,24
i ɲaa munu i kinibolo fɛ,tournez à gauche,24,16
sariya bɛn kan,c’est un choix politique,14,24
o ka tɔgɔ la ko hasan,il est nommé daprès hassan,21,26
uhon i bi se ka na ni a ye,oui tu peux envoyer,26,19
den laban a ni den filanan o be ɲagamuna nn ma,cadet benjamin je my perds,46,26
cɛw n ka hakililata filɛ nin ye,voilà mon avis messieurs,31,24
fen kelen le te yi,ce n’est pas la même chose…,18,27
kumakan keleen nin do,c’est le même propos,21,20
kuma dɔwɛrɛ ti n bolo,je n’ai pas d’autre argument,21,28
fanga ɲamɔgɔ ga jumɛ,le commissaire mais encore …,20,28
maa lankoloń ti songa yɛrɛ yira,le lâche nose pas se montrer,32,28
yɔrɔ be mi,où est la poste ,10,16
a te mɔgɔ sigɛn,ce n’est pas fatigant ,15,22
tiɲɛ tɛ,ce n’est pas vrai,7,17
waafila ni biseegi ni wɔrɔ,deux cent quatrevingtsix,26,24
ɔtɔbru kalo tile mugan ni fila,vingtdeux octobre,30,17
a bi na diya n ye n dale do a la,je suis sûr que jaimerais,32,25
ayi n be bara bila,non je donne ma démission ,18,26
tan ni seegina,le dixhuitième,14,14
a tora kɔgɔ jira,il s’est noyé en mer,16,20
a cogo ya jati minɛ,son attitude sen ressent,19,24
jyl melin sira saaba,trois chemin jules méline,20,25
muso nunu bi se ka dɔ bɔ o yɛrɛ la,elles sont au régime,34,20
sama den mugan ni fila,vingtdeux éléphants noirs,22,25
a nisɔn mandi kana maga a la,touche pas à ça malheureux,28,26
nne ka bara kɛ,jai à travailler,14,16
mɔnikɛbato,le bâteau de pêche,10,18
a datugula dimansi lon,c’est fermé le dimanche,22,23
n ka kan ka kɔnɔ,je dois attendre ,16,17
jɛnɲɔgɔn fila sara ka to den to bolo,le couple meurt sans enfant,36,27
sanga ba de bi zapon,cest un gros succès au japon,20,28
ji beyi wa,il y a de l’eau ,10,16
an bi mɔgɔ hakɛ joli,combien seronsnous ,20,19
sukaro bara fla bin bolo,jai deux paquets de sucre,24,25
o tun nana siginan to bolo,ils étaient venus sans chaise,26,29
an bi balimamuso fɛ,nous aimerions ta sœur,19,22
ayi ayi foyi tɛ sa,non non rien de tout ça,18,23
annu te soli ka wili,nous nous levons tard…,20,22
juman lo diyara aw ye ,lesquels vous plaisent ,22,23
a nana mɔnbilila,il est venu en bus,16,18
kɔngɔ bi n na,rue du mont rôti à preures,13,26
ne bi fèga ta so,rue fegui limours,16,17
n fakɛ ka sisɛ,rue du puits drouet à chartres,14,30
n baw fora a ka kɛwalen ɲumana,les gourmettes cliquetèrent,30,27
n bi na ji min,or tant l’article l,14,19
ayiwa an bi ka taga ni bara ye ɲafɛ,cours du berteuil à valréas,35,27
fali nin minɛ kaɲɛ dɛ,rue de la philipotière laval,21,28
n bi ta ekɔl ra,allée du cerisier échillais,15,27
n be sinɔgɔra,clos du ratz à arradon,13,22
ka da kan bara ni di ya n ye kɔsɔbɛ,el maestre – cronobiografía,35,27
kuma kɔnɔnmanw,treize square françois boucher,14,30
sisɛ ye,en effet la réserve parlementaire est un pouvoir discrétionnaire et un saupoudrage,7,82
n bɔra balon ziue yɔrɔ la n naana sifi n sigɛnino,deux rue forfert,49,16
nala sɔn na sanji bina na bi,le a un dessin daile radical,28,28
i tun ko di ,rue eugène le thiec ploemeur,12,28
ni ele ma bɔ ne kɔrɔ nne bina i bugɔ kwa i bi tunu,de la cornouaille au goëlo,50,26
n bi ta dugu kɔnɔ,un pensum au marquis …,17,22
kɔgɔ bi n na,phototypie par a,12,16
fintɛni beyi bi,angèle drame en cinq actes,15,26
i bɔra min,aujourdhui la grande bretèche abrite les sœurs dominicaines de la présentation de tours,10,87
an ni wula,sous lancien régime estrennes dépend du bailliage de mirecourt,10,62
an bina doumouni kè,peste soit du farceur,19,21
an ma bara kè bi,madame gaudin oui je sais …,16,27
kalo sara ka ban,square de la mettrie rennes,16,27
mina ta lou konon,square dous casous messanges,17,28
ala ka bara ko nongonya,cest une excitotoxine,23,21
n bi na taga lɔgɔra ka ta fɛn dɔw san,impasse du stade périgny,37,24
mi tara sini,des révérences ironiques séchangeaient sur les marches de grès,12,62
an bi na ɲigi ka togata,au plus on sera mouillé,23,23
a farini lo kojugu,cest trop stylé,18,15
a sara nin sans kelen ni na,il mourut la même année,27,23
a ma kɛ kunadia ye n ma,malheureusement pour moi,23,24
kartɔr yi an ɲagami,carfor nous aura trompés,19,24
a fas ni lo,souple et tenace,11,16
nin ko ni gɛlɛyara aw bolo,ça vous a coûté cher,26,20
irbɛn ma son a tara,urbain posa des objections,19,26
tuma jumalo n bi a se ka i ye,et quand te verraije ,29,21
a gɛlɛya ra a ma,ça lui a coûté cher,16,19
nin tuma nin kadi,le temps est beau,17,17
a kɛra bryksel,elle est établie à bruxelles,14,28
rɛsto bɔra a bɛ kalama,restaud a tout su,22,17
dɛmisɛnkɔrɔsila,une gardienne d’enfants,15,23
muso lon bɛ,dame … tous les jours,11,21
a yɛnna n ba famu na,bien je le vois…,20,16
a ba ɲɛ ni tɔni saba ye,trois point davance,23,19
ka toi nin ye gwansan ne ye,mais il est moins important,27,27
konstantɛn gyi yɔrɔla,à constantin guys,21,17
ɔnɔninw ka,huit route des oiseaux,10,22
a wolola bɛrlɛn,rosa valetti naît à berlin,15,26
a ti foyi dian,il ne me donne jamais rien,14,26
sɔgɔma nɛgɛ kaɲan fɔlɔ,une heure du matin,22,18
bɛnɛ a ni bɛgɛn balo,agriculture et élevage,20,22
aa nne ta lowa,ah c’est à moi …,14,16
a di wɛ n ɲafɔ,donne alors je lirai,14,20
aw yi mɔgɔ filanan ne ye,vous êtes second,24,16
o ka mara duguba ye tukani ye,son cheflieu est tucaní,29,23
tasa kelen fara a kan,tu mettras un couvert de plus,21,29
na le tɛ a bi na sɔn,à défaut avis défavorable,20,25
a tericɛ bi lɔndr,votre ami est à londres ,17,24
n yi fangan sɔrɔ tuguni,tu as encore eu une promo,23,25
n mi dumunikɛ cogo kɔrɔsi n na,je suis au régime,30,17
ka sɔrɔ a ba yɛrɛkɛra lanaya mɔgɔye,donc il se jugeait sincère,35,26
kasɔrɔ koɲa nin bi na ɲagami tugu,mais cela avorta aussi,33,22
nin fɛn ni lo ba ka kow bɛɛ ɲafɛ,cest le souverain but,32,21
no tɛ ne sago tɛ,sinon j’y suis défavorable,16,26
an ban bolo nɔn di,nous avons même voté contre,18,27
o o tumana fo an ka kɔ segi,il faudra retourner,27,19
fla fere bon bi min,où est la pharmacie ,19,20
a ka lemurukumu sɔngɔ ka ca,ils sont chers vos citrons,27,26
dumunikɛyɔrɔ dɔ bi gɛrɛfɛyɔrɔ nin na,il y a un restaurant pas loin,36,29
kokɛtaw sanfɛ,audelà du possible,13,18
a bi famaya ra a san kɔnɔntɔnnan le ye,il règne pendant neuf ans,38,25
a wolona sarsbɔrg ,il est né à sarpsborg,18,21
o bina ɲɔgɔn sɔrɔ euya ,elle se rencontre sur ʻeua,23,26
wali bi kanwɛrɛ mɛn na,wally entend une autre voix,22,27
mɔgɔya ra otavio ya fɔ,par humanité dit ottavio,22,24
o yow ka marifaw son,ils empoignèrent leurs fusils,20,29
kogo min anw ya yɛrɛ sɔrɔ ka sala,le bois où nous avions été nous promener,33,40
dɛnmisɛn ɲuma,les bons petits enfants,13,23
lanaya ma di min bi nana kuma nin ɲafɔ ma,le rapporteur est désavoué,41,26
fari fini ye siniɲasigi ye,le esport cest lavenir,26,22
nin suguru ɲuman ni tun nagasira,la jeune femme avait pâli,32,25
ale nin tara,tu n’es pas à la course…,12,24
n kaɲi ka se,il faut que jy arrive,12,21
fɔlɔra i ye jurumu kow kɛ,autrefois tu pêchas,25,19
o bi baden muso fɛ,on aime ta sœur,18,15
dɔ kaɲi ka bɔ kalan karamɔgɔ la wa,fautil moins d’enseignants,34,26
na sisan sisan,viens immédiatement,14,19
garbon bi fɔɲɔn sama na,cavrois reniflait lair,23,22
an bi diɲɛ min na nin ti famu dɛ,on vit dans un drôle de monde,32,29
nunu yi ka mɔgɔw le ye,ce sont des parents à toi ,22,26
san ni dɔni a bina ta ko toyi,bientôt il les quitta,29,21
